Customer ID,Size,Color,Season,Category,email_engagement_status,activation_status,Previous Purchases,Purchase Amount (USD),Discount Applied,Promo Code Used,Frequency of Purchases,Age,Cluster
1,l,gray,winter,clothing,clicked,purchased,14,53,yes,yes,fortnightly,55,0
10,m,pink,spring,accessories,clicked,purchased,4,31,yes,yes,quarterly,57,0
5,m,turquoise,spring,clothing,clicked,only_searched,31,49,yes,yes,annually,45,2
6,m,white,summer,footwear,clicked,only_searched,14,20,yes,yes,weekly,46,0
8,l,charcoal,winter,clothing,clicked,purchased,19,34,yes,yes,weekly,27,0
9,l,silver,summer,outerwear,clicked,purchased,8,97,yes,yes,annually,26,3
12,s,olive,winter,clothing,clicked,only_searched,10,68,yes,yes,fortnightly,30,3
19,s,black,summer,clothing,clicked,only_searched,17,48,yes,yes,weekly,52,0
22,m,charcoal,winter,clothing,clicked,only_searched,22,62,yes,yes,quarterly,31,3
23,m,peach,summer,clothing,clicked,only_searched,32,37,yes,yes,annually,56,2
24,xl,white,winter,clothing,clicked,purchased,40,88,yes,yes,weekly,31,1
27,m,red,spring,accessories,not_click,,13,20,yes,yes,annually,38,0
28,l,cyan,summer,clothing,clicked,only_searched,7,56,yes,yes,every 3 months,56,0
30,s,black,fall,clothing,not_open,not_activated,14,48,yes,yes,weekly,31,0
32,l,brown,winter,clothing,clicked,added_to_cart,45,79,yes,yes,monthly,33,1
33,m,silver,summer,outerwear,clicked,only_searched,37,67,yes,yes,annually,36,1
48,m,charcoal,winter,accessories,clicked,purchased,36,54,yes,yes,weekly,55,2
49,m,orange,summer,clothing,clicked,purchased,38,55,yes,yes,monthly,42,2
52,xl,gray,winter,clothing,not_click,,7,59,yes,yes,quarterly,59,3
53,m,green,summer,clothing,clicked,only_searched,26,20,yes,yes,weekly,42,0
56,m,lavender,winter,outerwear,not_open,not_activated,49,28,yes,yes,annually,40,2
57,xl,brown,summer,accessories,not_click,,46,73,yes,yes,weekly,41,1
61,l,brown,summer,clothing,not_click,,17,37,yes,yes,weekly,50,0
62,m,orange,winter,accessories,not_open,not_activated,21,68,yes,yes,every 3 months,55,3
63,s,magenta,spring,footwear,clicked,purchased,31,21,yes,yes,fortnightly,30,2
64,l,lavender,winter,accessories,clicked,added_to_cart,43,79,yes,yes,weekly,33,1
67,s,magenta,winter,clothing,not_open,not_activated,3,94,yes,yes,every 3 months,31,3
69,l,silver,summer,accessories,clicked,added_to_cart,21,46,yes,yes,every 3 months,57,0
70,s,cyan,summer,accessories,not_click,,5,70,yes,yes,weekly,48,3
72,l,gold,summer,clothing,clicked,only_searched,34,48,yes,yes,annually,36,2
74,m,teal,spring,clothing,clicked,purchased,43,85,yes,yes,bi-weekly,48,1
75,l,violet,spring,accessories,clicked,only_searched,3,58,yes,yes,monthly,49,0
77,s,teal,summer,accessories,not_open,not_activated,32,43,yes,yes,monthly,50,2
79,m,maroon,spring,clothing,clicked,purchased,50,91,yes,yes,fortnightly,50,1
84,m,turquoise,summer,clothing,not_click,,34,40,yes,yes,weekly,36,2
88,m,green,fall,footwear,clicked,only_searched,44,53,yes,yes,fortnightly,52,2
90,xl,pink,fall,outerwear,clicked,only_searched,15,83,yes,yes,quarterly,47,3
94,m,purple,fall,clothing,clicked,only_searched,46,62,yes,yes,weekly,37,1
95,s,silver,spring,clothing,not_open,not_activated,28,76,yes,yes,weekly,58,1
96,l,pink,fall,footwear,clicked,added_to_cart,48,100,yes,yes,monthly,37,1
97,s,gold,spring,accessories,clicked,purchased,43,73,yes,yes,every 3 months,32,1
103,l,violet,winter,clothing,clicked,only_searched,35,67,yes,yes,quarterly,51,1
108,l,olive,winter,footwear,not_click,,46,67,yes,yes,fortnightly,28,1
110,m,violet,spring,clothing,not_click,,43,85,yes,yes,fortnightly,58,1
112,l,purple,summer,accessories,clicked,purchased,9,75,yes,yes,annually,26,3
113,m,red,spring,accessories,clicked,only_searched,28,65,yes,yes,bi-weekly,37,1
114,l,maroon,winter,accessories,not_open,not_activated,20,54,yes,yes,quarterly,44,0
118,l,yellow,summer,footwear,clicked,only_searched,29,32,yes,yes,fortnightly,50,2
119,l,orange,fall,clothing,clicked,added_to_cart,27,45,yes,yes,bi-weekly,50,2
120,m,orange,fall,outerwear,not_click,,44,76,yes,yes,annually,38,1
123,l,brown,spring,accessories,clicked,purchased,44,40,yes,yes,fortnightly,40,2
124,l,brown,fall,clothing,clicked,only_searched,46,89,yes,yes,weekly,57,1
125,m,gray,spring,clothing,not_open,not_activated,50,86,yes,yes,annually,44,1
126,m,indigo,winter,clothing,not_click,,45,54,yes,yes,every 3 months,49,2
127,l,pink,spring,clothing,not_open,not_activated,48,36,yes,yes,every 3 months,43,2
131,l,violet,fall,accessories,clicked,only_searched,13,39,yes,yes,fortnightly,44,0
132,l,indigo,summer,clothing,not_click,,46,29,yes,yes,weekly,28,2
133,m,orange,fall,accessories,not_click,,42,58,yes,yes,weekly,30,2
135,l,gray,fall,accessories,clicked,only_searched,25,94,yes,yes,monthly,43,1
136,m,purple,fall,footwear,not_click,,12,81,yes,yes,quarterly,43,3
137,m,white,winter,clothing,not_open,not_activated,4,86,yes,yes,quarterly,39,3
140,m,white,fall,outerwear,clicked,only_searched,30,95,yes,yes,annually,49,1
151,l,cyan,fall,footwear,clicked,only_searched,17,96,yes,yes,every 3 months,35,3
152,l,turquoise,fall,accessories,not_open,not_activated,3,47,yes,yes,annually,28,0
153,s,brown,summer,clothing,clicked,purchased,42,85,yes,yes,annually,30,1
155,m,charcoal,fall,clothing,not_click,,21,98,yes,yes,quarterly,41,3
157,m,lavender,fall,clothing,not_click,,40,26,yes,yes,annually,35,2
160,m,charcoal,fall,accessories,clicked,purchased,39,27,yes,yes,every 3 months,58,2
161,m,orange,summer,accessories,not_click,,34,23,yes,yes,monthly,27,2
163,m,turquoise,summer,accessories,clicked,purchased,31,74,yes,yes,bi-weekly,54,1
164,m,purple,summer,clothing,not_open,not_activated,8,67,yes,yes,weekly,54,3
165,s,purple,spring,accessories,not_click,,5,65,yes,yes,fortnightly,59,3
166,s,yellow,winter,accessories,not_click,,7,60,yes,yes,monthly,42,3
167,xl,indigo,fall,footwear,clicked,purchased,30,31,yes,yes,monthly,46,2
168,m,green,fall,accessories,not_click,,14,27,yes,yes,every 3 months,33,0
169,m,magenta,summer,footwear,not_click,,5,80,yes,yes,fortnightly,34,3
170,s,gold,summer,outerwear,not_click,,3,30,yes,yes,every 3 months,27,0
171,m,maroon,fall,clothing,clicked,only_searched,46,25,yes,yes,bi-weekly,52,2
172,m,blue,summer,clothing,not_click,,4,35,yes,yes,weekly,29,0
175,l,brown,winter,footwear,not_click,,37,35,yes,yes,annually,41,2
176,l,violet,fall,outerwear,clicked,purchased,2,86,yes,yes,annually,53,3
177,l,black,spring,accessories,clicked,purchased,30,81,yes,yes,quarterly,53,1
182,m,beige,summer,clothing,clicked,purchased,4,61,yes,yes,weekly,32,3
183,xl,purple,summer,accessories,clicked,only_searched,10,96,yes,yes,annually,38,3
184,xl,beige,spring,clothing,not_click,,26,29,yes,yes,weekly,58,2
185,l,cyan,spring,footwear,clicked,purchased,40,33,yes,yes,fortnightly,32,2
187,s,lavender,summer,accessories,clicked,only_searched,31,56,yes,yes,annually,39,2
190,m,maroon,fall,clothing,clicked,only_searched,4,82,yes,yes,weekly,36,3
193,l,turquoise,summer,footwear,clicked,purchased,12,29,yes,yes,bi-weekly,46,0
194,s,silver,fall,accessories,clicked,purchased,29,100,yes,yes,annually,36,1
195,m,olive,spring,accessories,not_click,,15,94,yes,yes,quarterly,51,3
196,m,magenta,fall,outerwear,not_open,not_activated,34,25,yes,yes,monthly,51,2
197,m,lavender,summer,footwear,clicked,purchased,41,88,yes,yes,fortnightly,38,1
199,m,turquoise,winter,accessories,not_click,,39,45,yes,yes,fortnightly,57,2
200,xl,green,summer,accessories,clicked,added_to_cart,32,73,yes,yes,weekly,54,1
203,l,magenta,spring,accessories,clicked,purchased,33,38,yes,yes,annually,57,2
209,m,gold,spring,clothing,not_click,,17,38,yes,yes,monthly,57,0
211,l,teal,fall,outerwear,not_click,,6,22,yes,yes,fortnightly,45,0
214,l,peach,fall,accessories,clicked,purchased,11,93,yes,yes,every 3 months,30,3
217,l,yellow,spring,clothing,not_click,,21,61,yes,yes,weekly,43,3
219,s,magenta,spring,clothing,clicked,purchased,8,45,yes,yes,quarterly,28,0
220,m,cyan,spring,accessories,clicked,purchased,12,88,yes,yes,fortnightly,32,3
221,s,indigo,spring,footwear,clicked,purchased,48,57,yes,yes,fortnightly,39,2
223,xl,gray,spring,accessories,not_click,,14,94,yes,yes,fortnightly,47,3
227,l,violet,spring,footwear,clicked,only_searched,5,74,yes,yes,monthly,29,3
228,m,turquoise,winter,clothing,clicked,only_searched,25,90,yes,yes,fortnightly,50,1
232,m,blue,spring,clothing,clicked,purchased,18,26,yes,yes,every 3 months,28,0
236,m,cyan,winter,accessories,clicked,only_searched,31,89,yes,yes,quarterly,43,1
240,l,yellow,summer,clothing,clicked,purchased,47,51,yes,yes,bi-weekly,49,2
241,xl,turquoise,winter,clothing,not_click,,29,45,yes,yes,fortnightly,47,2
242,m,peach,winter,clothing,clicked,only_searched,43,88,yes,yes,bi-weekly,36,1
243,l,gray,summer,outerwear,not_click,,40,85,yes,yes,every 3 months,55,1
245,s,indigo,spring,accessories,clicked,only_searched,39,42,yes,yes,weekly,53,2
247,xl,beige,spring,accessories,clicked,only_searched,20,86,yes,yes,bi-weekly,35,3
248,xl,brown,spring,clothing,not_open,not_activated,14,66,yes,yes,weekly,29,3
